transaction_id,persona_id,date,description,amount,category,is_labelled
36,P01,08/09/2023,VISA PURCHASE TANPOPO JAPANESE SOUTH BRISBANE,13.07,Non-Essential,True
37,P01,08/09/2023,VISA PURCHASE DAILY GRIND INDOOROOPILLY,5.91,Non-Essential,True
38,P01,09/09/2023,POS IGA INDOOROOPILLY TID 551574,16.99,Essential,True
39,P01,09/09/2023,EFTPOS PURCHASE SINGLE O FORTITUDE VLY TID 520256,5.07,Non-Essential,True
40,P01,10/09/2023,DIRECT DEBIT - TPG INTERNET,93.49,Essential,True
41,P01,10/09/2023,POS COLES SOUTH BRISBANE TID 302490,143.7,Essential,True
42,P01,10/09/2023,EFTPOS PURCHASE BANH MI NEW FARM TID 304776,18.42,Non-Essential,True
43,P01,11/09/2023,PAYID TRANSFER TO RENT BRISBANE 37 REF 89095,477.35,Essential,True
44,P01,11/09/2023,CARD PURCHASE 11SEP 7-ELEVEN 6210 NEW FARM,4.59,Non-Essential,True
45,P01,12/09/2023,EFTPOS PURCHASE SINGLE O NEW FARM TID 177820,4.81,Non-Essential,True
46,P01,12/09/2023,CARD PURCHASE 12SEP SINGLE O 9453 TOOWONG,4.68,Non-Essential,True
47,P01,13/09/2023,CARD PURCHASE 13SEP GUZMAN Y GOMEZ 4109 NEW FARM,14.11,Non-Essential,True
48,P01,13/09/2023,CARD PURCHASE 13SEP ST DREUX 5221 TOOWONG,4.76,Non-Essential,True
49,P01,13/09/2023,EFTPOS PURCHASE MECCA TOOWONG TID 920104,5.6,Non-Essential,True
50,P01,13/09/2023,EFTPOS PURCHASE MECCA CBD TID 594493,5.1,Non-Essential,True
51,P01,14/09/2023,POS PITA PIT FORTITUDE VLY TID 580430,12.65,Non-Essential,True
52,P01,14/09/2023,CARD PURCHASE 14SEP TANPOPO JAPANESE 7099 INDOOROOPILLY,14.49,Non-Essential,True
53,P01,14/09/2023,POS SINGLE O TOOWONG TID 793632,4.59,Non-Essential,True
54,P01,14/09/2023,EFTPOS PURCHASE MAD MEX CBD TID 241537,8.75,Non-Essential,True
55,P01,15/09/2023,VISA PURCHASE RUBY COFFEE SOUTH BRISBANE,4.55,Non-Essential,True
56,P01,15/09/2023,APPLE.COM/BILL AUS,3.49,Non-Essential,True
57,P01,16/09/2023,EFTPOS PURCHASE THAI RASOI NEW FARM TID 881933,46.34,Non-Essential,True
58,P01,16/09/2023,VISA PURCHASE 7-ELEVEN FORTITUDE VLY,3.8,Non-Essential,True
59,P01,16/09/2023,EFTPOS PURCHASE ST DREUX INDOOROOPILLY TID 570512,6.43,Non-Essential,True
60,P01,17/09/2023,CARD PURCHASE 17SEP MECCA 5764 INDOOROOPILLY,4.8,Non-Essential,True
61,P01,18/09/2023,PAYID TRANSFER TO RENT BRISBANE 38 REF 33878,477.35,Essential,True
62,P01,18/09/2023,MENULOG ONLINE AUSTRALIA REF 46552,35.89,Non-Essential,True
63,P01,18/09/2023,VISA PURCHASE 7-ELEVEN NEW FARM,6.98,Non-Essential,True
64,P01,18/09/2023,POS MAD MEX INDOOROOPILLY TID 189790,12.28,Non-Essential,True
65,P01,20/09/2023,CARD PURCHASE 20SEP SUSHI HUB 8288 SOUTH BRISBANE,10.47,Non-Essential,True
66,P01,20/09/2023,POS MECCA NEW FARM TID 753622,4.75,Non-Essential,True
67,P01,20/09/2023,APPLE.COM/BILL,4.49,Non-Essential,True
68,P01,21/09/2023,EFTPOS PURCHASE HENRY COFFEE NEW FARM TID 856518,5.46,Non-Essential,True
69,P01,21/09/2023,POS ROLLD TOOWONG TID 251015,10.84,Non-Essential,True
70,P01,21/09/2023,VISA PURCHASE 7-ELEVEN CBD,6.8,Non-Essential,True
71,P01,21/09/2023,VISA PURCHASE DAISO SYDNEY TOOWONG,187.5,Non-Essential,True
72,P01,22/09/2023,UBER *TRIP HELP.UBER.COM NLD,33.31,Non-Essential,True
73,P01,22/09/2023,EFTPOS PURCHASE RUBY COFFEE SOUTH BRISBANE TID 760327,5.73,Non-Essential,True
74,P01,22/09/2023,CARD PURCHASE 22SEP HENRY COFFEE 3814 INDOOROOPILLY,6.29,Non-Essential,True
75,P01,23/09/2023,CARD PURCHASE 23SEP WOOLWORTHS 6279 CBD,39.99,Essential,True
76,P01,23/09/2023,POS BURGER PROJECT NEW FARM TID 770578,33.1,Non-Essential,True
77,P01,23/09/2023,POS 7-ELEVEN FORTITUDE VLY TID 171964,6.34,Non-Essential,True
78,P01,23/09/2023,EFTPOS PURCHASE CAMPOS FORTITUDE VLY TID 113564,6.32,Non-Essential,True
79,P01,23/09/2023,VISA PURCHASE HOKKAIDO RAMEN SOUTH BRISBANE,11.67,Non-Essential,True
80,P01,23/09/2023,EFTPOS PURCHASE DAISO SYDNEY FORTITUDE VLY TID 290835,47.41,Non-Essential,True
81,P01,23/09/2023,APPLE.COM/BILL AUS,5.99,Non-Essential,True
82,P01,24/09/2023,EFTPOS PURCHASE SINGLE O CBD TID 393252,6.18,Non-Essential,True
83,P01,24/09/2023,CARD PURCHASE 24SEP AMZN Mktp AU SYDNEY 8807 NEW FARM,142.7,Non-Essential,True
84,P01,24/09/2023,NETBANK TRANSFER FROM SAVER,-734.93,Excluded,True
85,P01,25/09/2023,OSKO PAYMENT RENT BRISBANE 39,477.35,Essential,True
86,P01,25/09/2023,CARD PURCHASE 25SEP COFFEE HERO 3856 NEW FARM,5.65,Non-Essential,True
87,P01,25/09/2023,POS DAILY GRIND NEW FARM TID 384958,4.54,Non-Essential,True
88,P01,25/09/2023,EFTPOS PURCHASE SINGLE O CBD TID 480417,5.02,Non-Essential,True
89,P01,26/09/2023,VISA PURCHASE 7-ELEVEN INDOOROOPILLY,5.24,Non-Essential,True
90,P01,26/09/2023,CARD PURCHASE 26SEP SUSHI HUB 3745 NEW FARM,9.43,Non-Essential,True
91,P01,26/09/2023,POS COFFEE HERO CBD TID 927411,4.99,Non-Essential,True
92,P01,26/09/2023,VISA PURCHASE CAMPOS NEW FARM,5.94,Non-Essential,True
93,P01,26/09/2023,VISA PURCHASE CAMPOS TOOWONG,4.67,Non-Essential,True
94,P01,27/09/2023,EFTPOS PURCHASE GUZMAN Y GOMEZ NEW FARM TID 358129,12.35,Non-Essential,True
95,P01,27/09/2023,POS COFFEE HERO INDOOROOPILLY TID 857356,6.31,Non-Essential,True
96,P01,27/09/2023,NBK TRSF FROM SAVER,-631.67,Excluded,True
97,P01,28/09/2023,TRANSLINK TOP UP BRISBANE QLD SVC 93331181,30.0,Essential,True
98,P01,28/09/2023,VISA PURCHASE MAD MEX TOOWONG,17.49,Non-Essential,True
99,P01,28/09/2023,EFTPOS PURCHASE SINGLE O NEW FARM TID 108964,5.47,Non-Essential,True
100,P01,28/09/2023,POS COFFEE HERO FORTITUDE VLY TID 700201,5.18,Non-Essential,True
101,P01,28/09/2023,POS RUBY COFFEE NEW FARM TID 548123,4.53,Non-Essential,True
102,P01,28/09/2023,APPLE.COM/BILL AUS,1.49,Non-Essential,True
103,P01,29/09/2023,MENULOG ONLINE AUSTRALIA,39.88,Non-Essential,True
104,P01,29/09/2023,EFTPOS PURCHASE 7-ELEVEN NEW FARM TID 998643,8.51,Non-Essential,True
105,P01,29/09/2023,VISA PURCHASE CAMPOS TOOWONG,5.36,Non-Essential,True
106,P01,29/09/2023,EFTPOS PURCHASE ST DREUX FORTITUDE VLY TID 107590,5.27,Non-Essential,True
107,P01,29/09/2023,EFTPOS PURCHASE COFFEE HERO SOUTH BRISBANE TID 864509,5.31,Non-Essential,True
108,P01,30/09/2023,BOLT *TRIP BRISBANE,18.84,Non-Essential,True
109,P01,30/09/2023,UBER *TRIP HELP.UBER.COM NLD TRIP 420482,36.51,Non-Essential,True
110,P01,30/09/2023,POS HOKKAIDO RAMEN TOOWONG TID 713693,14.88,Non-Essential,True
111,P01,30/09/2023,VISA PURCHASE BANH MI FORTITUDE VLY,17.47,Non-Essential,True
112,P01,30/09/2023,EFTPOS PURCHASE DAILY GRIND TOOWONG TID 826129,6.31,Non-Essential,True
113,P01,30/09/2023,EFTPOS PURCHASE HENRY COFFEE CBD TID 853458,5.25,Non-Essential,True
114,P01,01/10/2023,DIRECT DEBIT BUPA AUSTRALIA DDR ID 095385,120.9,Essential,True
115,P01,01/10/2023,POS COFFEE HERO TOOWONG TID 343933,5.94,Non-Essential,True
116,P01,01/10/2023,EFTPOS PURCHASE SINGLE O INDOOROOPILLY TID 251426,4.82,Non-Essential,True
117,P01,01/10/2023,VISA PURCHASE CAMPOS NEW FARM,5.13,Non-Essential,True
118,P01,02/10/2023,OSKO PAYMENT RENT BRISBANE 40,477.35,Essential,True
119,P01,02/10/2023,CARD PURCHASE 02OCT ROLLD 7541 INDOOROOPILLY,11.44,Non-Essential,True
120,P01,02/10/2023,POS SUSHI HUB CBD TID 182950,12.25,Non-Essential,True
121,P01,03/10/2023,POS ROLLD TOOWONG TID 533843,17.52,Non-Essential,True
122,P01,04/10/2023,PAYROLL Harbour Media NET PAY,-3145.84,Excluded,True
123,P01,04/10/2023,DIRECT DEBIT OPTUS BILL DDR ID 006974,64.48,Essential,True
124,P01,04/10/2023,SPOTIFY P0652 STOCKHOLM,16.47,Non-Essential,True
125,P01,04/10/2023,CARD PURCHASE 04OCT HENRY COFFEE 4331 CBD,5.31,Non-Essential,True
126,P01,04/10/2023,CARD PURCHASE 04OCT SINGLE O 9145 INDOOROOPILLY,5.3,Non-Essential,True
127,P01,04/10/2023,EFTPOS PURCHASE MAD MEX CBD TID 152090,14.26,Non-Essential,True
128,P01,05/10/2023,CARD PURCHASE 05OCT 7-ELEVEN 9197 NEW FARM,36.99,Non-Essential,True
129,P01,05/10/2023,VISA PURCHASE HOKKAIDO RAMEN INDOOROOPILLY,15.19,Non-Essential,True
130,P01,05/10/2023,VISA PURCHASE CAMPOS SOUTH BRISBANE,5.78,Non-Essential,True
131,P01,05/10/2023,CARD PURCHASE 05OCT HOKKAIDO RAMEN 5064 TOOWONG,9.41,Non-Essential,True
132,P01,06/10/2023,CARD PURCHASE 06OCT DAILY GRIND 3419 CBD,5.81,Non-Essential,True
133,P01,06/10/2023,EFTPOS PURCHASE BANH MI NEW FARM TID 665931,9.67,Non-Essential,True
134,P01,07/10/2023,CARD PURCHASE 07OCT COFFEE HERO 9767 CBD,5.26,Non-Essential,True
135,P01,08/10/2023,NETFLIX.COM AMSTERDAM NLD,16.3,Non-Essential,True
136,P01,08/10/2023,TRANSLINK TOP UP BRISBANE QLD SVC 29146211,20.0,Essential,True
137,P01,08/10/2023,VISA PURCHASE COLES INDOOROOPILLY,21.62,Essential,True
138,P01,08/10/2023,VISA PURCHASE SUSHI HUB INDOOROOPILLY,11.69,Non-Essential,True
139,P01,08/10/2023,VISA PURCHASE PITA PIT NEW FARM,13.39,Non-Essential,True
140,P01,08/10/2023,POS CHEMIST WAREHOUSE NEWTOWN FORTITUDE VLY TID 666761,16.99,Essential,True
141,P01,09/10/2023,PAYID TRANSFER TO RENT BRISBANE 41 REF 88963,477.35,Essential,True
142,P01,09/10/2023,POS WOOLWORTHS FORTITUDE VLY TID 248409,94.9,Essential,True
143,P01,09/10/2023,POS HENRY COFFEE NEW FARM TID 667328,5.77,Non-Essential,True
144,P01,09/10/2023,CARD PURCHASE 09OCT GUZMAN Y GOMEZ 1186 NEW FARM,13.29,Non-Essential,True
145,P01,10/10/2023,CARD PURCHASE 10OCT 7-ELEVEN 4731 TOOWONG,4.08,Non-Essential,True
146,P01,10/10/2023,VISA PURCHASE MECCA FORTITUDE VLY,5.12,Non-Essential,True
147,P01,10/10/2023,CARD PURCHASE 10OCT 7-ELEVEN 3658 FORTITUDE VLY,5.24,Non-Essential,True
148,P01,11/10/2023,EFTPOS PURCHASE ST DREUX NEW FARM TID 810475,5.64,Non-Essential,True
149,P01,11/10/2023,POS DAILY GRIND TOOWONG TID 457215,6.14,Non-Essential,True
150,P01,11/10/2023,VISA PURCHASE CAMPOS TOOWONG,5.66,Non-Essential,True
151,P01,12/10/2023,CARD PURCHASE 12OCT SINGLE O 8154 INDOOROOPILLY,4.68,Non-Essential,True
152,P01,12/10/2023,POS SINGLE O NEW FARM TID 474636,5.51,Non-Essential,True
153,P01,12/10/2023,ADJUSTMENT - ROUNDING,0.04,Excluded,True
154,P01,13/10/2023,DIRECT DEBIT - TPG INTERNET DDR ID 086451,93.49,Essential,True
155,P01,13/10/2023,UBER *TRIP HELP.UBER.COM NLD,26.6,Non-Essential,True
156,P01,13/10/2023,POS 7-ELEVEN FORTITUDE VLY TID 968177,8.11,Non-Essential,True
157,P01,13/10/2023,POS ST DREUX CBD TID 666647,5.14,Non-Essential,True
158,P01,14/10/2023,ADJUSTMENT - ROUNDING,0.07,Excluded,True
159,P01,15/10/2023,EFTPOS PURCHASE COLES CBD TID 227624,135.5,Essential,True
160,P01,16/10/2023,OSKO PAYMENT RENT BRISBANE 42,477.35,Essential,True
161,P01,16/10/2023,VISA PURCHASE ST DREUX INDOOROOPILLY,6.42,Non-Essential,True
162,P01,16/10/2023,CARD PURCHASE 16OCT 7-ELEVEN 6625 TOOWONG,5.91,Non-Essential,True
163,P01,16/10/2023,EFTPOS PURCHASE MECCA SOUTH BRISBANE TID 950982,4.84,Non-Essential,True
164,P01,17/10/2023,POS DAILY GRIND NEW FARM TID 235025,5.82,Non-Essential,True
165,P01,17/10/2023,VISA PURCHASE SINGLE O SOUTH BRISBANE,4.55,Non-Essential,True
166,P01,17/10/2023,POS 7-ELEVEN CBD TID 426371,5.93,Non-Essential,True
167,P01,17/10/2023,VISA PURCHASE DAILY GRIND NEW FARM,6.15,Non-Essential,True
168,P01,18/10/2023,VISA PURCHASE ST DREUX INDOOROOPILLY,4.53,Non-Essential,True
169,P01,18/10/2023,CARD PURCHASE 18OCT COFFEE HERO 1284 FORTITUDE VLY,5.56,Non-Essential,True
170,P01,18/10/2023,VISA PURCHASE CAMPOS NEW FARM,5.5,Non-Essential,True
171,P01,18/10/2023,VISA PURCHASE COFFEE HERO INDOOROOPILLY,5.54,Non-Essential,True
172,P01,18/10/2023,POS HENRY COFFEE TOOWONG TID 867873,5.89,Non-Essential,True
173,P01,19/10/2023,CARD PURCHASE 19OCT RUBY COFFEE 3021 TOOWONG,4.72,Non-Essential,True
174,P01,19/10/2023,CARD PURCHASE 19OCT ST DREUX 3470 CBD,6.14,Non-Essential,True
175,P01,19/10/2023,CARD PURCHASE 19OCT RUBY COFFEE 3761 INDOOROOPILLY,4.57,Non-Essential,True
176,P01,20/10/2023,MENULOG ONLINE AUSTRALIA ORD 713158,31.18,Non-Essential,True
177,P01,20/10/2023,EFTPOS PURCHASE MECCA TOOWONG TID 262214,6.21,Non-Essential,True
178,P01,20/10/2023,EFTPOS PURCHASE HENRY COFFEE FORTITUDE VLY TID 924984,6.32,Non-Essential,True
179,P01,21/10/2023,EFTPOS PURCHASE COFFEE HERO SOUTH BRISBANE TID 887558,4.99,Non-Essential,True
180,P01,21/10/2023,CARD PURCHASE 21OCT COFFEE HERO 8227 NEW FARM,4.96,Non-Essential,True
181,P01,22/10/2023,VISA PURCHASE PITA PIT FORTITUDE VLY,17.17,Non-Essential,True
182,P01,22/10/2023,POS MAD MEX FORTITUDE VLY TID 367042,14.79,Non-Essential,True
183,P01,23/10/2023,PAYID TRANSFER TO RENT BRISBANE 43 REF 33514,477.35,Essential,True
184,P01,23/10/2023,POS CAMPOS SOUTH BRISBANE TID 527465,5.31,Non-Essential,True
185,P01,23/10/2023,POS ST DREUX INDOOROOPILLY TID 624417,5.0,Non-Essential,True
186,P01,24/10/2023,EFTPOS PURCHASE MAD MEX SOUTH BRISBANE TID 364139,14.56,Non-Essential,True
187,P01,24/10/2023,EFTPOS PURCHASE HENRY COFFEE CBD TID 380832,6.06,Non-Essential,True
188,P01,25/10/2023,TRANSLINK TOP UP BRISBANE QLD,60.0,Essential,True
189,P01,25/10/2023,EFTPOS PURCHASE SINGLE O CBD TID 843423,6.13,Non-Essential,True
190,P01,25/10/2023,POS SUSHI HUB CBD TID 527588,15.04,Non-Essential,True
191,P01,25/10/2023,POS CHEMIST WAREHOUSE NEWTOWN INDOOROOPILLY TID 165853,34.42,Essential,True
192,P01,26/10/2023,CARD PURCHASE 26OCT WOOLWORTHS 3913 INDOOROOPILLY,38.7,Essential,True
193,P01,26/10/2023,VISA PURCHASE 7-ELEVEN CBD,4.27,Non-Essential,True
194,P01,26/10/2023,EFTPOS PURCHASE 7-ELEVEN NEW FARM TID 148363,7.12,Non-Essential,True
195,P01,27/10/2023,UBER *TRIP HELP.UBER.COM NLD,28.43,Non-Essential,True
196,P01,27/10/2023,EFTPOS PURCHASE SINGLE O CBD TID 210059,5.45,Non-Essential,True
197,P01,29/10/2023,VISA PURCHASE COLES SOUTH BRISBANE,157.56,Essential,True
198,P01,29/10/2023,EFTPOS PURCHASE COFFEE HERO CBD TID 603018,4.95,Non-Essential,True
199,P01,29/10/2023,VISA PURCHASE MAD MEX SOUTH BRISBANE,8.94,Non-Essential,True
200,P01,29/10/2023,POS TANPOPO JAPANESE FORTITUDE VLY TID 495312,10.51,Non-Essential,True
201,P01,29/10/2023,CARD PURCHASE 29OCT CHEMIST WAREHOUSE NEWTOWN 5897 FORTITUDE VLY,31.78,Essential,True
202,P01,30/10/2023,OSKO PAYMENT RENT BRISBANE 44,477.35,Essential,True
203,P01,31/10/2023,EFTPOS PURCHASE COFFEE HERO NEW FARM TID 794365,5.66,Non-Essential,True
204,P01,31/10/2023,VISA PURCHASE CAMPOS INDOOROOPILLY,5.37,Non-Essential,True
205,P01,01/11/2023,VISA PURCHASE COLES CBD,20.36,Essential,True
206,P01,01/11/2023,EFTPOS PURCHASE ROLLD FORTITUDE VLY TID 852557,17.13,Non-Essential,True
207,P01,01/11/2023,POS CAMPOS NEW FARM TID 301127,6.22,Non-Essential,True
208,P01,01/11/2023,EFTPOS PURCHASE RUBY COFFEE NEW FARM TID 666337,6.25,Non-Essential,True
209,P01,02/11/2023,DIRECT DEBIT BUPA AUSTRALIA DDR ID 010198,120.9,Essential,True
210,P01,02/11/2023,EFTPOS PURCHASE MAD MEX CBD TID 841280,18.1,Non-Essential,True
211,P01,02/11/2023,CARD PURCHASE 02NOV TANPOPO JAPANESE 3010 INDOOROOPILLY,16.77,Non-Essential,True
212,P01,02/11/2023,POS ST DREUX SOUTH BRISBANE TID 370465,5.26,Non-Essential,True
213,P01,02/11/2023,EFTPOS PURCHASE COFFEE HERO TOOWONG TID 513607,4.98,Non-Essential,True
214,P01,03/11/2023,PAYROLL Harbour Media NET PAY,-3145.84,Excluded,True
215,P01,03/11/2023,UBER *TRIP HELP.UBER.COM NLD TRIP 752639,18.73,Non-Essential,True
216,P01,03/11/2023,VISA PURCHASE GUZMAN Y GOMEZ CBD,12.31,Non-Essential,True
217,P01,03/11/2023,EFTPOS PURCHASE CAMPOS INDOOROOPILLY TID 750802,5.01,Non-Essential,True
218,P01,04/11/2023,DIRECT DEBIT OPTUS BILL,64.48,Essential,True
219,P01,05/11/2023,POS COLES TOOWONG TID 217022,113.92,Essential,True
220,P01,05/11/2023,UBER *EATS HELP.UBER.COM NLD REF 35765,41.83,Non-Essential,True
221,P01,05/11/2023,EFTPOS PURCHASE RISING SUN WORKSHOP NEW FARM TID 713348,49.7,Non-Essential,True
222,P01,05/11/2023,VISA PURCHASE PITA PIT SOUTH BRISBANE,9.95,Non-Essential,True
223,P01,05/11/2023,CARD PURCHASE 05NOV ROLLD 7186 INDOOROOPILLY,12.03,Non-Essential,True
224,P01,05/11/2023,VISA PURCHASE MAD MEX NEW FARM,10.41,Non-Essential,True
225,P01,06/11/2023,PAYID TRANSFER TO RENT BRISBANE 45 REF 50894,477.35,Essential,True
226,P01,06/11/2023,SPOTIFY P0652 STOCKHOLM,16.47,Non-Essential,True
227,P01,06/11/2023,CARD PURCHASE 06NOV RUBY COFFEE 1749 INDOOROOPILLY,5.8,Non-Essential,True
228,P01,06/11/2023,CARD PURCHASE 06NOV 7-ELEVEN 4728 SOUTH BRISBANE,8.78,Non-Essential,True
229,P01,07/11/2023,POS HENRY COFFEE FORTITUDE VLY TID 173026,4.84,Non-Essential,True
230,P01,07/11/2023,EFTPOS PURCHASE TANPOPO JAPANESE FORTITUDE VLY TID 566352,12.58,Non-Essential,True
231,P01,07/11/2023,POS HOKKAIDO RAMEN FORTITUDE VLY TID 444320,10.31,Non-Essential,True
232,P01,07/11/2023,CARD PURCHASE 07NOV 7-ELEVEN 1639 NEW FARM,4.92,Non-Essential,True
233,P01,08/11/2023,POS COFFEE HERO TOOWONG TID 476634,6.01,Non-Essential,True
234,P01,09/11/2023,VISA PURCHASE 7-ELEVEN FORTITUDE VLY,6.42,Non-Essential,True
235,P01,09/11/2023,POS SINGLE O NEW FARM TID 108383,4.57,Non-Essential,True
236,P01,09/11/2023,APPLE.COM/BILL,4.49,Non-Essential,True
237,P01,10/11/2023,DIRECT DEBIT - TPG INTERNET DDR ID 056778,93.49,Essential,True
238,P01,10/11/2023,EFTPOS PURCHASE HOKKAIDO RAMEN FORTITUDE VLY TID 859692,9.7,Non-Essential,True
239,P01,10/11/2023,CARD PURCHASE 10NOV TANPOPO JAPANESE 4727 CBD,9.81,Non-Essential,True
240,P01,11/11/2023,APPLE.COM/BILL ICLD 50GB,4.95,Non-Essential,True
241,P01,11/11/2023,EFTPOS PURCHASE DAILY GRIND NEW FARM TID 722826,5.6,Non-Essential,True
242,P01,11/11/2023,POS SINGLE O NEW FARM TID 549487,5.29,Non-Essential,True
243,P01,11/11/2023,VISA PURCHASE 7-ELEVEN INDOOROOPILLY,4.21,Non-Essential,True
244,P01,11/11/2023,VISA PURCHASE ST DREUX NEW FARM,5.82,Non-Essential,True
245,P01,12/11/2023,EFTPOS PURCHASE COFFEE HERO SOUTH BRISBANE TID 496059,4.79,Non-Essential,True
246,P01,12/11/2023,EFTPOS PURCHASE COFFEE HERO TOOWONG TID 349843,5.28,Non-Essential,True
247,P01,12/11/2023,EFTPOS PURCHASE BANH MI FORTITUDE VLY TID 717981,9.11,Non-Essential,True
248,P01,13/11/2023,PAYID TRANSFER TO RENT BRISBANE 46 REF 68393,477.35,Essential,True
249,P01,13/11/2023,EFTPOS PURCHASE CAMPOS SOUTH BRISBANE TID 752491,4.98,Non-Essential,True
250,P01,13/11/2023,VISA PURCHASE MAD MEX FORTITUDE VLY,14.48,Non-Essential,True
251,P01,13/11/2023,VISA PURCHASE ST DREUX NEW FARM,4.8,Non-Essential,True
252,P01,13/11/2023,VISA PURCHASE RUBY COFFEE INDOOROOPILLY,5.94,Non-Essential,True
253,P01,13/11/2023,APPLE.COM/BILL,2.99,Non-Essential,True
254,P01,15/11/2023,TRANSLINK TOP UP BRISBANE QLD,40.0,Essential,True
255,P01,15/11/2023,EFTPOS PURCHASE HENRY COFFEE INDOOROOPILLY TID 264899,5.55,Non-Essential,True
256,P01,15/11/2023,EFTPOS PURCHASE CAMPOS TOOWONG TID 444714,4.97,Non-Essential,True
257,P01,15/11/2023,VISA PURCHASE MAD MEX NEW FARM,17.1,Non-Essential,True
258,P01,15/11/2023,CARD PURCHASE 15NOV COFFEE HERO 1818 INDOOROOPILLY,5.72,Non-Essential,True
259,P01,16/11/2023,DOORDASH *ORDER DOORDASH.COM AUS REF 13039,33.33,Non-Essential,True
260,P01,16/11/2023,CARD PURCHASE 16NOV 7-ELEVEN 7177 NEW FARM,7.37,Non-Essential,True
261,P01,16/11/2023,POS ST DREUX SOUTH BRISBANE TID 436426,6.46,Non-Essential,True
262,P01,16/11/2023,CARD PURCHASE 16NOV ROLLD 7592 INDOOROOPILLY,12.74,Non-Essential,True
263,P01,16/11/2023,EFTPOS PURCHASE ST DREUX TOOWONG TID 236611,5.87,Non-Essential,True
264,P01,17/11/2023,BPAY - AGL ENERGY REF 9966059428,335.35,Essential,True
265,P01,17/11/2023,EFTPOS PURCHASE DAILY GRIND FORTITUDE VLY TID 337340,5.21,Non-Essential,True
266,P01,17/11/2023,CARD PURCHASE 17NOV UNIQLO BROADWAY 9847 NEW FARM,165.99,Non-Essential,True
267,P01,17/11/2023,APPLE.COM/BILL,3.49,Non-Essential,True
